line,position
[FeV],4071.24
[FeV],4180.6
[FeV],4227.19
[Ar XIV],4412.3
Fe XI,4567.4697
Fe IX,4588.5537
[Fe VII],4698.24
[Ar IV],4711.26
[Ar IV],4740.12
[Fe VII],4893.37
[Fe IV],4903.07
[Fe VII],4942.48
[Fe III],5084.77
[Fe VI],5145.75
[Fe VII],5158.89
[Fe VI],5176.04
[FeV],5236.06
[Fe XIV],5302.86
[Fe VI],5335.18
[Fe VI],5424.22
Ar X,5535.5591
Fe X,5538.939
[Fe VI],5637.6
[Fe VI],5677.0
[Fe VII],5720.7
Ar XV,5945.314
[Fe VII],6087.0
[Fe X],6374.51
[Ar V],6435.1
Ar XI,6918.021
[Ar V],7005.87
Fe XIX,7046.7324
Fe XV,7062.147
[Ar III],7135.79
[Ar IV],7170.62
[Ar IV],7237.26
[Ar IV],7262.76
[Ar III],7751.06
[Fe XI],7891.8
